slug,market_weighted_divisor
elementrem,16323.0
karbo,22064.0
maxcoin,175233.0
rubycoin,4975256.0
tether,9951689.0
dogecoin,24029221.0
bitcrystals,5220536.0
ubiq,252569.0
verge,246777.0
zclassic,155594.0
neutron,11515.0
startcoin,392172.0
joincoin,363495.0
vslice,2763551.0
e-gulden,246552.0
mintcoin,693683.0
zcash,16488152.0
orbitcoin,228228.0
quatloo,58829.0
rise,269697.0
emercoin,5835349.0
xaurum,7881132.0
groestlcoin,81115.0
bunnycoin,7815.0
ico-openledger,238378.0
i0coin,160375.0
dollar-online,528.0
triangles,8882.0
breakout-stake,443149.0
foldingcoin,459631.0
quark,713558.0
coin2-1,89615.0
rimbit,154700.0
incent,0.0
pandacoin-pnd,268625.0
guccionecoin,3297.0
zetacoin,401129.0
bitbtc,41696.0
martexcoin,34093.0
synergy,167654.0
cannabiscoin,158682.0
decred,1647865.0
dnotes,435169.0
moin,53093.0
ethereum,696993600.0
anarchistsprime,4760.0
bitsilver,22326.0
bitmark,254609.0
pivx,366774.0
gambit,363054.0
nyancoin,77600.0
piggycoin,80352.0
blocknet,476668.0
bitusd,105889.0
aurumcoin,36724.0
zeitcoin,291112.0
auroracoin,1133558.0
stratis,7113568.0
universal-currency,34478.0
radium,907781.0
