id,time_unix,symbol,slug,open,high,low,close,volume,marketcap,created_at,updated_at
811001,1544713200,TRUE,truechain,0.217176,0.230903,0.215886,0.220723,14240024.0,10252322.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811002,1544626800,TRUE,truechain,0.234238,0.235225,0.215455,0.215835,13062706.0,10025266.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811003,1544540400,TRUE,truechain,0.212846,0.257079,0.210265,0.231502,14134541.0,10752986.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811004,1544454000,TRUE,truechain,0.221757,0.228933,0.209506,0.211225,12313018.0,9811149.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811005,1544367600,TRUE,truechain,0.226413,0.23029,0.217343,0.219809,12625152.0,10209862.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811006,1544281200,TRUE,truechain,0.222889,0.235518,0.215284,0.226755,13686694.0,10532494.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811007,1544194800,TRUE,truechain,0.256687,0.256687,0.210182,0.222603,14942991.0,10339645.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811008,1544108400,TRUE,truechain,0.214589,0.25733,0.190661,0.25733,17712078.0,11952664.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811009,1544022000,TRUE,truechain,0.2498,0.251713,0.217211,0.217213,13206080.0,10089266.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811010,1543935600,TRUE,truechain,0.252024,0.285228,0.249321,0.249321,16109010.0,11580654.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811011,1543849200,TRUE,truechain,0.25546,0.263867,0.242686,0.252187,14332473.0,11713757.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811012,1543762800,TRUE,truechain,0.284948,0.284948,0.248874,0.256534,14395304.0,11915685.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811013,1543676400,TRUE,truechain,0.275489,0.321071,0.262017,0.281254,17467221.0,13063872.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811014,1543590000,TRUE,truechain,0.251522,0.343035,0.248316,0.275914,20065569.0,12815875.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811015,1543503600,TRUE,truechain,0.290759,0.292105,0.234826,0.249764,15939348.0,11601236.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811016,1543417200,TRUE,truechain,0.360943,0.361976,0.27697,0.292418,20445479.0,13582441.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811017,1543330800,TRUE,truechain,0.173526,0.379362,0.173526,0.356734,43528800.0,16569843.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811018,1543244400,TRUE,truechain,0.166728,0.17215,0.161372,0.170092,10172100.0,7900558.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811019,1543158000,TRUE,truechain,0.184032,0.188207,0.162193,0.167599,11108400.0,7784762.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811020,1543071600,TRUE,truechain,0.192476,0.195151,0.161204,0.184458,11867300.0,8567841.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811021,1542985200,TRUE,truechain,0.209968,0.217381,0.192642,0.192642,11425300.0,8947977.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811022,1542898800,TRUE,truechain,0.223237,0.22602,0.199611,0.210369,13040000.0,9771374.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811023,1542812400,TRUE,truechain,0.240078,0.246301,0.222328,0.230244,13421800.0,10694543.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811024,1542726000,TRUE,truechain,0.224807,0.24461,0.21513,0.240751,14537700.0,11182579.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811025,1542639600,TRUE,truechain,0.263232,0.267187,0.199389,0.22199,14586200.0,10311155.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811026,1542553200,TRUE,truechain,0.305374,0.306983,0.255047,0.263088,17488800.0,12220105.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811027,1542466800,TRUE,truechain,0.303253,0.307822,0.297742,0.306883,16908200.0,14254327.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811028,1542380400,TRUE,truechain,0.303758,0.305568,0.291264,0.299538,17592000.0,13913161.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811029,1542294000,TRUE,truechain,0.311065,0.31468,0.295578,0.303399,15827300.0,14092500.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811030,1542207600,TRUE,truechain,0.312402,0.318125,0.277301,0.309,19359000.0,14352659.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811031,1542121200,TRUE,truechain,0.373907,0.373907,0.304993,0.312326,19220700.0,14507148.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811032,1542034800,TRUE,truechain,0.38898,0.392041,0.369276,0.372051,20151700.0,17281298.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811033,1541948400,TRUE,truechain,0.394515,0.398762,0.386074,0.391738,20358800.0,18195735.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811034,1541862000,TRUE,truechain,0.400058,0.402192,0.389413,0.392032,19213700.0,18209390.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811035,1541775600,TRUE,truechain,0.392427,0.40557,0.392427,0.399902,19591800.0,18574942.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811036,1541689200,TRUE,truechain,0.40172,0.404616,0.388786,0.393089,19040100.0,18258487.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811037,1541602800,TRUE,truechain,0.411712,0.414461,0.401906,0.403017,19189700.0,18719630.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811038,1541516400,TRUE,truechain,0.407734,0.42551,0.406865,0.41427,23265400.0,19242317.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811039,1541430000,TRUE,truechain,0.40537,0.414132,0.397214,0.410476,19706800.0,19082069.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811040,1541343600,TRUE,truechain,0.410697,0.414919,0.401372,0.404367,19983700.0,18782336.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811041,1541257200,TRUE,truechain,0.411714,0.414604,0.406775,0.411375,21053600.0,19107848.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811042,1541170800,TRUE,truechain,0.418436,0.419869,0.411429,0.413832,20383700.0,19221973.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811043,1541084400,TRUE,truechain,0.417697,0.42038,0.411176,0.418807,21137200.0,19453055.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811044,1540998000,TRUE,truechain,0.417132,0.425042,0.407615,0.416055,21289500.0,19325228.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811045,1540911600,TRUE,truechain,0.412874,0.429492,0.408222,0.417346,22510400.0,19385194.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811046,1540825200,TRUE,truechain,0.417435,0.421034,0.409773,0.412541,21004300.0,19162008.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811047,1540738800,TRUE,truechain,0.432076,0.446698,0.411844,0.417701,23813400.0,19401683.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811048,1540652400,TRUE,truechain,0.422761,0.447676,0.416904,0.436394,26588000.0,20269949.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811049,1540566000,TRUE,truechain,0.428206,0.431214,0.416027,0.419664,25744300.0,19492862.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811050,1540479600,TRUE,truechain,0.431869,0.441824,0.425716,0.42949,25676500.0,19949267.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811051,1540393200,TRUE,truechain,0.43625,0.440488,0.425196,0.431876,23943700.0,20060094.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811052,1540306800,TRUE,truechain,0.444791,0.450571,0.430681,0.436177,1153850.0,20259870.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811053,1540220400,TRUE,truechain,0.433264,0.451343,0.431264,0.442936,484162.0,20573817.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811054,1540134000,TRUE,truechain,0.44651,0.447968,0.422638,0.431958,506212.0,20063903.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811055,1540047600,TRUE,truechain,0.454259,0.472372,0.445368,0.445368,568399.0,20686780.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811056,1539961200,TRUE,truechain,0.420247,0.475353,0.416488,0.45335,817573.0,21057534.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811057,1539874800,TRUE,truechain,0.426752,0.427686,0.411025,0.421551,392303.0,19580511.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811058,1539788400,TRUE,truechain,0.437155,0.439782,0.424884,0.427249,499885.0,19845176.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811059,1539702000,TRUE,truechain,0.461719,0.462183,0.431327,0.437191,842244.0,20306969.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811060,1539615600,TRUE,truechain,0.460285,0.473992,0.458801,0.460674,5731640.0,21397725.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811061,1539529200,TRUE,truechain,0.456767,0.486173,0.432323,0.460422,7586290.0,21386019.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811062,1539442800,TRUE,truechain,0.459871,0.463756,0.454574,0.45631,3456200.0,21195022.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811063,1539356400,TRUE,truechain,0.452656,0.459251,0.451676,0.457899,222422.0,21268829.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811064,1539270000,TRUE,truechain,0.489224,0.502271,0.466036,0.498442,3703030.0,23152000.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811065,1539183600,TRUE,truechain,0.510596,0.510731,0.461528,0.489563,11101800.0,22739582.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811066,1539097200,TRUE,truechain,0.563563,0.563702,0.500159,0.511234,10576800.0,23746173.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811067,1539010800,TRUE,truechain,0.56133,0.59288,0.539393,0.56453,13117200.0,26221704.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811068,1538924400,TRUE,truechain,0.55162,0.596424,0.546187,0.560607,12342400.0,26039486.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811069,1538838000,TRUE,truechain,0.560767,0.577918,0.53571,0.550496,10546300.0,25569843.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811070,1538751600,TRUE,truechain,0.565425,0.575449,0.520428,0.559768,11796000.0,26000515.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811071,1538665200,TRUE,truechain,0.571635,0.573774,0.544974,0.564889,13842100.0,26238379.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811072,1538578800,TRUE,truechain,0.560063,0.592373,0.559269,0.571743,12890200.0,26556739.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
811073,1538492400,TRUE,truechain,0.562688,0.568867,0.548456,0.559715,24409400.0,25998054.0,2018-12-15 10:38:14 UTC,2018-12-15 10:38:14 UTC
