id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
1830553,1539270000,HORUS,0.011573,0.013804,0.011521,0.012259,5439.0,10101310.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830554,1539183600,HORUS,0.014224,0.014561,0.011645,0.011662,4854.0,12415523.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830555,1539097200,HORUS,0.014655,0.015367,0.013879,0.014762,11943.0,12791410.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830556,1539010800,HORUS,0.017052,0.017729,0.014684,0.015505,9020.0,14884412.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830557,1538924400,HORUS,0.015621,0.017118,0.014165,0.016696,10611.0,13635147.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830558,1538838000,HORUS,0.019887,0.021191,0.014695,0.015597,6995.0,17358308.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830559,1538751600,HORUS,0.021574,0.021877,0.013906,0.019884,11100.0,18830769.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830560,1538665200,HORUS,0.014655,0.026174,0.012804,0.021582,9810.0,12792027.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830561,1538578800,HORUS,0.01491,0.015839,0.013314,0.014653,6719.0,13014142.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830562,1538492400,HORUS,0.013895,0.015076,0.012286,0.014921,9084.0,12128153.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830563,1538406000,HORUS,0.01103,0.014838,0.008817,0.012667,5145.0,9627872.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830564,1538319600,HORUS,0.013428,0.015067,0.008138,0.011038,4098.0,11721100.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830565,1538233200,HORUS,0.013389,0.015209,0.007964,0.014889,5482.0,11686749.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
1830566,1538146800,HORUS,0.01511,0.016834,0.013039,0.013409,4802.0,13189203.0,2018-10-13 08:53:07 UTC,2018-10-13 08:53:07 UTC
