id,time_unix,symbol,open,high,low,close,volume,marketcap,created_at,updated_at
949125,1541894400,OXY,0.003758,0.005022,0.003732,0.004341,23317.0,0.0,2018-11-12 00:25:13 UTC,2018-11-12 00:25:13 UTC
949126,1541808000,OXY,0.003552,0.003845,0.003329,0.00376,269.0,0.0,2018-11-12 00:25:13 UTC,2018-11-12 00:25:13 UTC
949127,1541721600,OXY,0.003873,0.00431,0.00247,0.003553,19796.0,0.0,2018-11-12 00:25:13 UTC,2018-11-12 00:25:13 UTC
949128,1541635200,OXY,0.004738,0.004747,0.003856,0.00387,12409.0,0.0,2018-11-12 00:25:13 UTC,2018-11-12 00:25:13 UTC
949129,1541548800,OXY,0.004397,0.006069,0.003913,0.004741,57396.0,0.0,2018-11-12 00:25:13 UTC,2018-11-12 00:25:13 UTC
949130,1541462400,OXY,0.004737,0.004755,0.00436,0.004397,47006.0,0.0,2018-11-12 00:25:13 UTC,2018-11-12 00:25:13 UTC
942689,1541376000,OXY,0.004672,0.005224,0.004005,0.004718,53062.0,0.0,2018-11-06 00:24:01 UTC,2018-11-06 00:24:01 UTC
942690,1541289600,OXY,0.004591,0.004673,0.004365,0.004672,1190.0,0.0,2018-11-06 00:24:01 UTC,2018-11-06 00:24:01 UTC
942691,1541203200,OXY,0.004835,0.004879,0.003457,0.004591,8909.0,0.0,2018-11-06 00:24:01 UTC,2018-11-06 00:24:01 UTC
942692,1541116800,OXY,0.003939,0.004858,0.003616,0.004835,28742.0,0.0,2018-11-06 00:24:01 UTC,2018-11-06 00:24:01 UTC
942693,1541030400,OXY,0.004338,0.004378,0.003245,0.003939,34927.0,0.0,2018-11-06 00:24:01 UTC,2018-11-06 00:24:01 UTC
939954,1540944000,OXY,0.004408,0.004648,0.003933,0.004338,78251.0,0.0,2018-11-01 00:24:43 UTC,2018-11-01 00:24:43 UTC
939955,1540857600,OXY,0.004314,0.004484,0.004313,0.004402,568.0,0.0,2018-11-01 00:24:43 UTC,2018-11-01 00:24:43 UTC
939956,1540771200,OXY,0.004473,0.004496,0.004272,0.004325,3199.0,0.0,2018-11-01 00:24:43 UTC,2018-11-01 00:24:43 UTC
939957,1540684800,OXY,0.004428,0.004501,0.003862,0.004474,483.0,0.0,2018-11-01 00:24:43 UTC,2018-11-01 00:24:43 UTC
939958,1540598400,OXY,0.003897,0.004481,0.003881,0.004429,1570.0,0.0,2018-11-01 00:24:43 UTC,2018-11-01 00:24:43 UTC
939959,1540512000,OXY,0.004439,0.004465,0.003348,0.003897,10971.0,0.0,2018-11-01 00:24:43 UTC,2018-11-01 00:24:43 UTC
939960,1540425600,OXY,0.004472,0.004625,0.004437,0.004448,297.0,0.0,2018-11-01 00:24:43 UTC,2018-11-01 00:24:43 UTC
934905,1540339200,OXY,0.004572,0.004605,0.00445,0.00447,98.0,0.0,2018-10-26 00:36:46 UTC,2018-10-26 00:36:46 UTC
933393,1540252800,OXY,0.004397,0.004601,0.004371,0.004593,2454.0,0.0,2018-10-25 00:39:40 UTC,2018-10-25 00:39:40 UTC
931808,1540166400,OXY,0.004472,0.004589,0.004388,0.004398,9632.0,0.0,2018-10-24 00:46:24 UTC,2018-10-24 00:46:24 UTC
930077,1540080000,OXY,0.004459,0.004521,0.00443,0.004475,6633.0,0.0,2018-10-23 00:49:34 UTC,2018-10-23 00:49:34 UTC
926809,1539993600,OXY,0.004373,0.004471,0.004364,0.004458,1485.0,0.0,2018-10-22 00:40:10 UTC,2018-10-22 00:40:10 UTC
925105,1539907200,OXY,0.00449,0.004501,0.004369,0.004373,264.0,0.0,2018-10-21 00:43:18 UTC,2018-10-21 00:43:18 UTC
923402,1539820800,OXY,0.004561,0.004627,0.004437,0.004491,14944.0,0.0,2018-10-19 05:14:46 UTC,2018-10-19 05:14:46 UTC
923403,1539734400,OXY,0.004312,0.004566,0.00292,0.004543,3877.0,0.0,2018-10-19 05:14:46 UTC,2018-10-19 05:14:46 UTC
923404,1539648000,OXY,0.005302,0.00531,0.004288,0.004297,5146.0,0.0,2018-10-19 05:14:46 UTC,2018-10-19 05:14:46 UTC
923405,1539561600,OXY,0.004362,0.005316,0.004278,0.005307,15791.0,0.0,2018-10-19 05:14:46 UTC,2018-10-19 05:14:46 UTC
923406,1539475200,OXY,0.003627,0.004378,0.003583,0.004357,1550.0,0.0,2018-10-19 05:14:46 UTC,2018-10-19 05:14:46 UTC
923407,1539388800,OXY,0.004526,0.004553,0.003571,0.003626,5930.0,0.0,2018-10-19 05:14:46 UTC,2018-10-19 05:14:46 UTC
923408,1539302400,OXY,0.004579,0.004595,0.00429,0.004526,14088.0,0.0,2018-10-19 05:14:46 UTC,2018-10-19 05:14:46 UTC
